RAINFALL AMOUNT (mm),WATERLEVEL (m),WATERLEVEL MSL (m),Date
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-17
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-18
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-19
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-20
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-21
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-22
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-23
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-24
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-25
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-26
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-27
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-28
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-29
0.3402777777777778,-0.01152777777777778,-8.26152777777778,2020-11-30
0.0,0.005833333333333334,-8.244166666666667,2020-12-01
0.0,0.156078431372549,-8.09392156862745,2020-12-02
0.0,0.15555555555555556,-8.094444444444443,2020-12-03
0.0,0.14750000000000002,-8.1025,2020-12-04
0.0,0.18083333333333332,-8.069166666666668,2020-12-05
0.03125,0.23479166666666668,-8.015208333333334,2020-12-06
0.1423611111111111,0.21736111111111112,-8.03263888888889,2020-12-07
0.13194444444444445,0.3409027777777778,-7.909097222222223,2020-12-08
0.041666666666666664,0.3352777777777778,-7.914722222222222,2020-12-09
0.3916083916083916,0.3253846153846154,-7.924615384615385,2020-12-10
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-11
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-12
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-13
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-14
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-15
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-16
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-17
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-18
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-19
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-20
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-21
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-22
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-23
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-24
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-25
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-26
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-27
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-28
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-29
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-30
0.3576388888888889,0.18416666666666667,-8.065833333333334,2020-12-31
0.3576388888888889,0.18416666666666667,-8.065833333333334,2021-01-01
0.0,-0.32286713286713287,-8.572867132867133,2021-01-02
0.0,0.6265277777777778,-7.623472222222222,2021-01-03
0.0,1.0633064516129032,-7.186693548387097,2021-01-04
0.0,0.6706944444444445,-7.579305555555556,2021-01-05
0.0,0.6706944444444445,-7.579305555555556,2021-01-06
0.0,0.6706944444444445,-7.579305555555556,2021-01-07
0.0,0.6706944444444445,-7.579305555555556,2021-01-08
0.0,0.6706944444444445,-7.579305555555556,2021-01-09
0.0,0.6706944444444445,-7.579305555555556,2021-01-10
0.0,0.6706944444444445,-7.579305555555556,2021-01-11
0.0,0.6706944444444445,-7.579305555555556,2021-01-12
0.0,0.6706944444444445,-7.579305555555556,2021-01-13
0.0,0.6706944444444445,-7.579305555555556,2021-01-14
0.0,0.6706944444444445,-7.579305555555556,2021-01-15
0.0,0.6706944444444445,-7.579305555555556,2021-01-16
0.0,0.6706944444444445,-7.579305555555556,2021-01-17
0.0,0.6706944444444445,-7.579305555555556,2021-01-18
